"ID_UNIDADE_ORC";"SQA_UNIDADE_ORCAM";"ANO_EXERCICIO";"CD_UNIDADE_ORC";"ID_GRUPO_ADMINISTRACAO";"GRUPO_ADMINISTRACAO";"ID_ADMINISTRACAO";"ADMINISTRACAO";"NOME"
7367;2029;2016;4291;4;"FUNDOS";4;"FUNDOS";"FUNDO ESTADUAL DE SAUDE"
7379;2043;2016;1471;1;"ADMINISTRACAO DIRETA";1;"ADMINISTRACAO DIRETA";"SECRETARIA DE ESTADO DE CIDADES E DE INTEGRACAO REGIONAL"
7387;2054;2016;1511;1;"ADMINISTRACAO DIRETA";1;"ADMINISTRACAO DIRETA";"POLICIA CIVIL DO ESTADO DE MINAS GERAIS"
7395;2055;2016;1551;1;"ADMINISTRACAO DIRETA";1;"ADMINISTRACAO DIRETA";"DEPARTAMENTO DE TRANSITO DE MINAS GERAIS"
7399;2059;2016;1661;1;"ADMINISTRACAO DIRETA";1;"ADMINISTRACAO DIRETA";"INTENDENCIA"
7401;2061;2016;1591;1;"ADMINISTRACAO DIRETA";1;"ADMINISTRACAO DIRETA";"SECRETARIA DE ESTADO DE DESENVOLVIMENTO E INTEGRACAO DO NORTE E NORDESTE DE MINAS GERAIS"
7404;2064;2016;1641;1;"ADMINISTRACAO DIRETA";1;"ADMINISTRACAO DIRETA";"SECRETARIA DE ESTADO DE DESENVOLVIMENTO AGRARIO"
7421;2081;2016;2091;2;"AUTARQUIAS E FUNDACOES";3;"FUNDACOES";"FUNDACAO ESTADUAL DO MEIO AMBIENTE"
7423;2083;2016;2111;2;"AUTARQUIAS E FUNDACOES";3;"FUNDACOES";"FUNDACAO RURAL MINEIRA"
7424;2084;2016;2121;2;"AUTARQUIAS E FUNDACOES";2;"AUTARQUIAS";"INSTITUTO DE PREVIDENCIA DOS SERVIDORES MILITARES DO ESTADO DE MINAS GERAIS"
7595;2102;2016;2331;2;"AUTARQUIAS E FUNDACOES";2;"AUTARQUIAS";"INSTITUTO DE METROLOGIA E QUALIDADE DO ESTADO DE MINAS GERAIS"
7596;2103;2016;2351;2;"AUTARQUIAS E FUNDACOES";2;"AUTARQUIAS";"UNIVERSIDADE DO ESTADO DE MINAS GERAIS"
