"ID_TEMPO";"ID_PODER";"ID_UNIDADE_ORC";"ANO_PARTICAO";"VR_ATIVO";"VR_INATIVO";"VR_PENSIONISTA";"VR_CONTRATADO"
4017;3;7426;2016;167830,87;0;0;0
4018;3;7413;2016;0;0;30737698,54;0
4018;3;7606;2016;286175,81;0;0;0
4013;1;7597;2016;0;0;0;0
4007;3;7418;2016;2101328,06;0;0;0
4007;3;7404;2016;587004,56;0;0;2330,31
4007;3;7407;2016;435675,57;0;0;0
4008;3;7603;2016;286675,47;0;0;0
4007;3;7601;2016;447333,31;0;0;0
4010;3;7604;2016;762304,06;0;0;0
4010;4;7352;2016;0;0;0;0
4011;3;7365;2016;797374,59;0;0;0
4012;3;7422;2016;4769537,65;0;0;0
4012;3;7424;2016;1163180,88;0;102869191,9;0
4013;3;7354;2016;88117,44;0;0;0
4014;3;7431;2016;590234,6;0;0;0
4014;3;7376;2016;646637,58;0;0;0
4017;3;7368;2016;6277253,87;0;0;4692,93
4017;3;7421;2016;1260008,28;0;0;0
4017;1;7610;2016;0;0;0;0
4018;3;7598;2016;20637835,02;0;0;0
4010;3;7608;2016;6441615,25;0;0;0
4015;3;7608;2016;7475995,49;0;0;0
4011;3;7607;2016;22442364,41;0;0;0
4009;3;7401;2016;203608,77;0;0;0
4012;3;7600;2016;1137886,3;0;0;247318,51
4012;3;7363;2016;810442,6;0;0;0
4012;3;7401;2016;182928,91;0;0;0
4013;3;7396;2016;1928774,27;0;0;0
4014;3;7435;2016;4500894,56;0;0;7016,67
4016;3;7357;2016;73389115,85;0;0;0
4016;3;7348;2016;507213,38;0;0;0
4016;3;7383;2016;0;0;0;0
4018;3;7360;2016;1158687,85;0;0;0
4018;3;7371;2016;1375000,28;0;0;0
4008;3;7433;2016;800837,39;0;0;0
4009;4;7350;2016;85990977,7;22716790,97;4746598,88;0
4009;3;7437;2016;569394,03;0;0;0
4010;3;7369;2016;0;0;0;0
4010;3;7413;2016;0;0;15649557,68;0
4011;3;7431;2016;651298,19;0;0;0
4008;3;7387;2016;119264495,49;0;0;0
4009;3;7387;2016;123764683,26;0;0;400,21
4010;3;7367;2016;28846779,81;0;0;174945,81
4010;3;7353;2016;327343,86;0;0;0
4012;3;7427;2016;807788,33;0;0;0
4012;3;7612;2016;0;0;0;0
4013;3;7424;2016;667745,33;0;103418412,55;0
4014;3;7363;2016;837997,48;0;0;0
4014;3;7599;2016;38880,54;0;0;0
4015;3;7365;2016;817975,89;0;0;9898,37
4015;3;7429;2016;160668,44;0;0;1282,06
4018;3;7419;2016;1264723,61;0;0;0
4011;3;7609;2016;576192,47;0;0;0
4012;3;7608;2016;7839762,63;0;0;0
4008;3;7373;2016;74691863,2;0;0;64336184,28
4008;3;7381;2016;2322690,82;0;0;0
4008;3;7405;2016;879793,24;0;0;0
4007;3;7354;2016;89421,44;0;0;0
4009;3;7428;2016;190149,83;0;1026,66;0
4008;3;7369;2016;0;0;0;0
4012;3;7373;2016;65377796,67;0;0;62687399,36
4012;3;7383;2016;0;0;0;0
4012;3;7425;2016;0;0;0;0
4014;3;7386;2016;9366166,38;0;0;358071,02
4015;3;7430;2016;1465965,68;0;880;0
4015;3;7595;2016;912362,25;0;0;0
4015;4;7352;2016;0;0;0;0
4016;3;7349;2016;24588609,88;0;0;0
4017;3;7425;2016;0;0;0;0
4018;3;7409;2016;0;0;0;0
4018;3;7426;2016;3242577,87;0;0;0
4007;3;7385;2016;1736036,31;0;0;0
4008;3;7370;2016;54436724,55;22044699,96;0;0
4008;3;7430;2016;1383695,98;0;880;0
4009;3;7381;2016;2272540,42;0;0;0
4009;3;7386;2016;9315700,03;0;0;355184,65
4010;1;7343;2016;48815938,37;23139714,82;173763,76;0
4011;3;7359;2016;340881,39;0;0;0
4011;3;7439;2016;0;0;0;0
4012;3;7386;2016;9449775,96;0;0;400839,24
4013;3;7421;2016;1273409,79;0;0;0
4013;3;7407;2016;399961,97;0;0;0
4013;3;7409;2016;0;0;0;0
4014;3;7362;2016;645662496,22;0;0;217415,49
4013;4;7352;2016;0;0;0;0
4014;3;7438;2016;7975597,28;0;231703,13;0
4014;3;7405;2016;1047507,32;0;0;0
4015;3;7428;2016;217022,34;0;440;0
4015;3;7383;2016;0;0;0;0
4015;3;7437;2016;499470,08;0;0;0
4015;3;7353;2016;283340,31;0;0;0
4016;3;7407;2016;387568,21;0;0;0
4017;3;7424;2016;665138,43;0;103673468,88;0
4017;3;7419;2016;1970395,27;0;0;0
4017;3;7369;2016;0;0;0;0
4018;3;7602;2016;854152,28;0;0;0
4018;2;7347;2016;4135616,69;1536202,89;211943,2;0
4018;3;7605;2016;4565,47;0;0;0
4009;3;7422;2016;5109973,38;0;0;0
4009;3;7395;2016;0;0;0;0
4009;3;7439;2016;0;0;0;0
4011;2;7347;2016;2028973,14;714712,52;121207,16;0
4013;3;7405;2016;882091,36;0;0;0
4014;3;7403;2016;934082,13;0;0;0
4015;3;7422;2016;4985706,32;0;0;0
4015;3;7600;2016;950638,8;0;0;244477,21
4016;3;7401;2016;176895,57;0;0;0
4007;1;7343;2016;48166315,69;22926854,92;173763,76;0
4007;3;7428;2016;207301,11;0;1026,66;0
4008;3;7363;2016;828147,77;0;0;0
4009;3;7379;2016;601461,43;0;0;0
4010;3;7372;2016;18638727,49;7115259;0;0
4011;3;7361;2016;363767797,1;417737414,41;0;0
4011;3;7373;2016;65579071,17;0;0;62867921,09
4011;3;7409;2016;0;0;0;0
4012;3;7395;2016;0;0;0;0
4012;3;7602;2016;486334,38;0;0;0
4013;3;7349;2016;12834666,27;0;0;0
4013;3;7371;2016;517552,73;0;0;0
4013;3;7429;2016;164089,57;0;0;1643,56
4015;3;7397;2016;571709,29;0;0;16180,57
4015;3;7385;2016;1630775,41;0;0;0
4016;3;7431;2016;581064,48;0;0;0
4017;3;7417;2016;166644,56;0;0;0
4018;3;7359;2016;710335,64;0;0;0
4018;1;7344;2016;33114853,31;12768048,81;118227,02;0
4016;3;7374;2016;0;0;0;0
4015;3;7401;2016;176926,53;0;0;0
4016;3;7359;2016;898002,03;0;0;0
4017;3;7371;2016;34437,75;0;0;0
4018;3;7353;2016;443895,6;0;0;0
4007;3;7415;2016;17444374,97;0;7920;2687,66
4007;3;7413;2016;0;0;15812335;0
4008;3;7423;2016;462814,53;0;1297,81;0
4008;3;7605;2016;161414,5;0;0;0
4009;3;7432;2016;1054407,15;0;0;88563,87
4009;3;7427;2016;719020,7;0;0;0
4010;3;7435;2016;4388019,7;0;0;149933,57
4010;3;7595;2016;1016582,62;0;0;0
4010;2;7347;2016;1830943,98;716589,84;121207,16;0
4010;3;7424;2016;638213,22;0;101668607,26;0
4012;3;7370;2016;55105675,93;23004764,58;0;0
4012;3;7400;2016;916761,16;0;0;0
4013;3;7426;2016;1292751,43;0;0;0
4013;3;7605;2016;148744,49;0;0;0
4016;3;7433;2016;744508,71;0;0;0
4016;3;7428;2016;189291,62;0;440;0
4017;3;7606;2016;146944,77;0;0;0
4018;3;7396;2016;3665067,35;0;0;0
4018;3;7424;2016;1339880,9;0;204784337,25;0
4013;3;7609;2016;559502,41;0;0;0
4008;3;7367;2016;27906209,28;0;0;250822,35
4007;3;7427;2016;793607,85;0;0;0
4008;3;7376;2016;735480,73;0;0;0
4009;3;7372;2016;18774918,65;7040547,83;0;0
4009;3;7409;2016;0;0;0;0
4011;3;7434;2016;1004150,44;0;0;0
4011;3;7419;2016;480848,61;0;0;0
4013;3;7411;2016;5916,31;701874527,09;132872722,38;0
4015;2;7346;2016;0;0;0;0
4016;4;7351;2016;0;0;0;0
4016;3;7416;2016;0;0;0;0
4017;3;7407;2016;390965,98;0;0;0
4014;1;7597;2016;0;0;0;0
4007;3;7437;2016;546966,03;0;0;1795,13
4009;3;7376;2016;742099,48;0;0;0
4009;1;7610;2016;0;0;0;0
4010;3;7370;2016;54157489,36;22557299,26;0;0
4011;3;7372;2016;18657328,23;7001938,18;0;0
4008;3;7419;2016;476689,47;0;0;0
4009;3;7362;2016;519382169,53;0;0;173322,4
4009;3;7396;2016;1650543,81;0;0;0
4010;3;7371;2016;477232,53;0;0;0
4013;3;7348;2016;551320,97;0;0;0
4014;3;7428;2016;202476,61;0;0;0
4014;3;7397;2016;575319,1;0;0;0
4015;3;7409;2016;0;0;0;0
4015;3;7399;2016;0;0;0;0
4015;3;7426;2016;1211243,87;0;0;0
4016;3;7430;2016;1445639,76;0;880;0
4016;3;7411;2016;5901,31;734889736,07;131187492,63;0
4014;3;7353;2016;291765,26;0;0;0
4018;3;7367;2016;81693620,06;0;0;0
4018;3;7405;2016;1772705,1;0;0;0
4018;3;7411;2016;11676,31;1490482321,04;257292685,07;0
4018;3;7425;2016;0;0;0;0
4007;3;7609;2016;544351,14;0;0;0
4007;3;7370;2016;55156205,92;21800472,3;0;0
4007;3;7381;2016;2446907,47;0;0;0
4009;3;7601;2016;414037,84;0;0;0
4009;1;7344;2016;32379870,84;11235492,26;118227,02;0
4010;3;7439;2016;0;0;0;0
4010;1;7610;2016;0;0;0;0
4013;3;7419;2016;447798,36;0;0;0
4013;1;7610;2016;0;0;0;0
4014;3;7419;2016;446513,01;0;0;0
4015;3;7427;2016;860309,26;0;0;0
4016;3;7381;2016;2198517,71;0;0;0
4017;3;7405;2016;869249,09;0;0;0
4017;3;7430;2016;1453183,43;0;880;0
4018;3;7440;2016;25913773,49;0;0;1212908,98
4007;3;7417;2016;177435,58;0;0;0
4007;3;7603;2016;293261,44;0;0;0
4009;3;7359;2016;343652,67;0;0;0
4009;3;7605;2016;159947,67;0;0;0
4010;3;7436;2016;56791073,73;0;64732,69;8733457,15
4012;3;7361;2016;370634886,04;420575870,01;0;0
4010;3;7396;2016;1644432,71;0;0;0
4010;4;7351;2016;0;0;0;0
4011;3;7354;2016;94668,51;0;0;0
4012;3;7403;2016;955740,21;0;0;0
4013;3;7601;2016;452957,13;0;0;0
4013;3;7612;2016;0;0;0;0
4015;3;7438;2016;17015545,24;0;219478,89;0
4015;3;7596;2016;8713311,25;0;0;1149304,5
4012;3;7599;2016;38922,49;0;0;0
4013;3;7363;2016;824683,52;0;0;0
4016;3;7438;2016;7616179,13;0;219478,89;0
4016;3;7606;2016;144674,8;0;0;0
4018;3;7416;2016;0;0;0;0
4010;3;7607;2016;18752718,65;0;0;0
4007;3;7422;2016;5424607,71;0;0;0
4008;4;7350;2016;82937434,89;22924156,89;4731120,93;0
4008;3;7604;2016;764111,07;0;0;0
4007;3;7440;2016;15951612,37;0;0;127586,04
4008;4;7352;2016;0;0;0;0
4009;3;7433;2016;808911,07;0;0;0
4009;3;7423;2016;433306,29;0;1297,81;0
4009;3;7612;2016;0;0;0;0
4010;3;7373;2016;66008669,21;0;0;63302967,88
4010;3;7431;2016;644801,38;0;0;0
4012;3;7357;2016;75258865,25;0;0;0
4011;3;7427;2016;879888,62;0;0;0
4011;3;7438;2016;7991517,04;0;222023,76;0
4011;3;7596;2016;8785339,73;0;0;1178182,34
4011;3;7604;2016;736968,27;0;0;0
4013;3;7357;2016;76837950,3;0;0;0
4014;3;7429;2016;164792,78;0;0;2011,05
4015;3;7604;2016;683869,13;0;0;0
4016;3;7362;2016;635148010,12;0;0;189629,07
4016;3;7434;2016;964009,5;0;0;0
4016;3;7369;2016;0;0;0;0
4016;3;7439;2016;0;0;0;0
4017;3;7349;2016;10998327,55;0;0;0
4013;3;7607;2016;17313308,65;0;0;0
4008;3;7357;2016;77854875,93;0;0;0
4010;3;7418;2016;2184614,12;0;0;6922,06
4011;3;7379;2016;556920,85;0;0;0
4011;3;7430;2016;1451586,53;0;880;0
4013;1;7344;2016;32038704,01;11955929,69;118227,02;0
4013;3;7404;2016;544047,71;0;0;0
4013;3;7386;2016;9566740,93;0;0;390195,76
4016;3;7596;2016;8621168,7;0;0;1129739,35
4016;3;7604;2016;695914,28;0;0;0
4016;3;7400;2016;890928,56;0;0;0
4018;3;7401;2016;339536,48;0;0;0
4018;3;7423;2016;833296,48;0;2595,62;0
4016;3;7424;2016;646780,11;0;104060797,27;0
4017;3;7596;2016;8532217,4;0;0;1080460,66
4017;3;7440;2016;13159677,95;0;0;681987,47
4018;3;7441;2016;14565233,98;0;586,66;946598,45
4007;3;7376;2016;763889,1;0;0;0
4008;3;7400;2016;862758,25;0;0;0
4007;3;7599;2016;40714,63;0;0;0
4008;3;7354;2016;90632,73;0;0;0
4009;3;7438;2016;8255821,93;0;260970,99;0
4009;3;7371;2016;486846,07;0;0;0
4011;3;7368;2016;5987180,83;0;0;0
4011;3;7381;2016;2349869,28;0;0;0
4011;3;7598;2016;10501641,86;0;0;0
4011;3;7407;2016;388241,25;0;0;0
4011;3;7376;2016;777150,43;0;0;0
4012;3;7604;2016;726146,62;0;0;0
4013;3;7381;2016;2360109,51;0;0;0
4013;3;7417;2016;157856,46;0;0;0
4015;4;7350;2016;92223807,2;27177696,81;7061409,3;0
4016;3;7417;2016;165104,13;0;0;0
4015;3;7416;2016;0;0;0;0
4017;3;7359;2016;354068,57;0;0;0
4017;3;7429;2016;151270,76;0;0;0
4018;3;7525;2016;251535,37;0;0;0
4018;2;7346;2016;0;0;0;0
4018;3;7632;2016;0;0;0;0
4007;3;7386;2016;9516965,71;0;0;401963,81
4007;3;7419;2016;544275,39;0;0;0
4007;3;7604;2016;788479,5;0;0;0
4010;3;7425;2016;0;0;0;0
4012;1;7343;2016;53530242,29;24474392,44;180194,89;0
4012;3;7407;2016;381287,67;0;0;0
4013;3;7373;2016;66226038,01;0;0;62765770,43
4014;1;7343;2016;54470600,64;24487751,32;191539,55;0
4014;3;7349;2016;12759078,31;0;0;0
4014;3;7605;2016;149025,96;0;0;0
4015;3;7381;2016;2333925,39;0;0;0
4014;3;7425;2016;0;0;0;0
4016;3;7370;2016;54186423,74;24592793,2;0;0
4016;2;7346;2016;0;0;0;0
4016;3;7385;2016;1684186,31;0;0;0
4017;4;7350;2016;93696566,2;29883013,05;4682130,41;0
4017;3;7395;2016;0;0;0;0
4018;3;7421;2016;2457530,49;0;0;0
4018;3;7362;2016;1230575469,07;0;0;281877,24
4018;3;7403;2016;1752554,69;0;0;0
4009;3;7609;2016;589146,78;0;0;0
4017;1;7597;2016;0;0;0;0
4007;3;7379;2016;632531,12;0;0;0
4007;3;7349;2016;12080648,27;0;0;0
4008;3;7362;2016;453159062,46;0;0;178234,82
4008;3;7411;2016;6169,15;635491894,25;128624092,22;0
4009;3;7596;2016;8646905,56;0;0;1168803,2
4009;4;7352;2016;0;0;0;0
