id_linha_fornec;sqa_linha_fornec;cd_linha_fornec;nome
1831202;571;4815;"COMPONENTES E ACESSORIOS PARA EQUIPAMENTOS DE COMUNICACAO"
1831203;572;4820;"FIBRA OPTICA, CABOS E COMPONENTES"
1831204;573;4825;"CABOS TELEFONICOS"
1831205;574;4910;"ARTIGOS E COMPONENTES ELETRICOS E ELETRONICOS"
1831206;575;4915;"ARTIGOS E COMPONENTES ELETRICOS"
1831207;576;4920;"ANTENAS E CORRELATOS"
1831208;577;4925;"BATERIAS, PILHAS E ACUMULADORES ELETRICOS"
1831209;578;5010;"MOTORES, GERADORES, BOBINAS E TRANSFORMADORES ELETRICOS"
1831210;579;5015;"EQUIPAMENTOS E COMPONENTES PARA CONTROLE ELETRICO"
1831211;580;5020;"CABOS ELETRICOS"
1831212;581;5025;"APARELHOS E ARTIGOS DE ILUMINACAO ELETRICA"
1831213;582;5030;"EQUIPAMENTOS E COMPONENTES PARA GERACAO/DISTRIBUICAO DE ENERGIA ELETRICA"
1831214;583;5035;"CELULA COMBUSTIVEL,COMPONENTES E ACESSORIOS"
1831215;584;5040;"EQUIPAMENTOS DE ILUMINACAO"
1831216;585;5110;"INSTRUMENTOS ODONTOLOGICOS"
1831217;586;5115;"EQUIPAMENTOS, MOBILIARIOS E ACESSORIOS ODONTOLOGICOS"
1831218;587;5120;"COMPONENTES PARA EQUIPAMENTOS DE USO ODONTOLOGICO"
1831219;588;5121;"EQUIPAMENTOS E ARTIGOS ODONTOLOGICOS NAO CONSIDERADOS CORRELATOS"
1831220;589;5125;"SUPRIMENTOS ODONTOLOGICOS"
1831221;590;5210;"INSTRUMENTOS MEDICOS-HOSPITALARES, COMPONENTES E ACESSORIOS"
1831222;591;5215;"EQUIPAMENTOS MEDICOS HOSPITALARES"
1831223;592;5220;"COMPONENTES E SUBCOMPONENTES DE EQUIPAMENTOS MEDICOS-HOSPITALARES"
1831224;593;5225;"ACESSORIOS MEDICOS-HOSPITALARES"
1831225;594;5230;"MOBILIÁRIO MÉDICO-HOSPITALAR"
1831226;595;5235;"MATERIAL E SUPRIMENTO MEDICO-HOSPITALAR"
1831227;596;5240;"SUPRIMENTOS MEDICOS HOSPITALARES"
1831228;597;5245;"SUPRIMENTOS PARA OFTALMOLOGIAA"
1831229;598;5246;"SUPRIMENTOS PARA OFTALMOLOGIA NAO CONSIDERADOS CORRELATOS"
1831230;599;5250;"SUPRIMENTOS PARA ORTOPEDIA E FISIOTERAPIA"
1831231;600;5255;"SUPRIMENTOS PARA RADIOLOGIA"
1831232;601;5260;"SUPRIMENTOS PARA ORTOPEDIA"
1831233;602;5310;"MEDICAMENTOS ALOPATICOS"
1831234;603;5315;"MEDICAMENTOS MANIPULADOS"
1831235;604;5320;"CONTRASTES RADIOLOGICOS E AUXILIARES DE DIAGNOSTICOS"
1831236;605;5325;"MEDICAMENTOS FITOTERAPICOS"
1831237;941;554;"SERVICOS DE AUTOMACAO INDUSTRIAL"
1831238;981;797;"SERVICOS DE CONSULTORIA EM AREA LOGISTICA"
1831239;1001;1060;"COMPONENTES E ACESSORIOS PARA ARMAS DIVERSAS"
1831240;1041;798;"SERVICO DE EDUCACAO PROFISSIONAL - CURSOS"
1831241;1101;662;"FORNECIMENTO DE AGUA E COLETA E TRATAMENTO DE ESGOTO"
1831242;1102;663;"FORNECIMENTO DE GAS"
1831243;1143;664;"PLANTIO AGRICOLA E PASTAGEM"
1831244;1163;488;"MANUTENCAO E REPARO EM INSTRUMENTO DE NAVEGACAO"
1831245;1183;331;"INSTALACAO E MONTAGEM DE PROTETOR DE PAREDE, PORTA E CANTO"
1831246;1203;557;"GESTAO DE CENTRAL DE MATERIAL E ESTERILIZACAO CME"
1831247;1303;558;"LOCACAO DE EQUIPAMENTOS E MATERIAIS DIVERSOS PARA ANIMAIS"
1831248;1323;926;"CONFECCAO DE REPLICAS DE FOSSEIS"
1831249;1343;667;"PINTURA ARTISTICA"
1831250;1363;668;"SERVICO DE ESTINOTIPIA OU TAQUIGRAFIA"
1831251;1383;5440;"FERRAMENTAS, EQUIP. E INSTRUMENTOS P/ OFICINA, MEDICAO E INSPECAO"
1831252;1403;559;"SERVICOS DE REGULACAO URBANA"
1831253;1483;669;"SERVICO DE VIGILANCIA DESARMADA"
1831254;1484;670;"SERVICO DE RECEPCAO, CONTROLE E OPERACAO DE PORTARIA"
1831255;1503;1603;"SERVICOS DE TRANSBORDO, TRATAMENTO E DISPOSICAO FINAL DE RESIDUOS SOLIDOS"
1831256;1523;1604;"SERVICO TECNICO ESPECIALIZADO EM ENGENHARIA ELETRICA"
1831257;1643;6320;"PECAS E COMPONENTES PARA EQUIPAMENTOS GINASTICA, DESPORTO E RECREACAO"
1831258;1803;491;"MANUTENCAO E ADAPTACAO EM EQUIPAMENTOS MEDICOS HOSPITALARES E LABORATORIAIS COM PECAS E ACESSORIOS"
1831259;1804;492;"MANUTENCAO E RECARGA DE EXTINTORES DE INCENDIO COM PECAS E ACESSORIOS"
1831260;1805;494;"MANUTENCAO EM EQUIPAMENTOS DE TELECOMUNICACOES COM PECAS E ACESSO RIOS"
1831261;1806;493;"MANUTENCAO EM INSTRUMENTOS E EQUIPAMENTOS DE LABORATORIO, ENSAIO E MEDICAO COM PECAS E ACESSORIOS"
1831262;1807;495;"MANUTENCAO EM EQUIPAMENTOS, COMPONENTES E SISTEMAS DE SEGURANCA ELETRONICA COM PECAS E ACESSORIOS"
1831263;1823;496;"MANUTENCAO EM EQUIPAMENTOS AGROPECUARIOS E AGRICOLAS"
1831264;1824;497;"MANUTENCAO EM EQUIPAMENTOS DE COMBATE A INCENDIO COM PECAS E ACESSO RIOS"
1831265;1825;498;"MANUTENCAO EM MAQUINAS E EQUIPAMENTOS DE ESCRITORIO COM PECAS E ACESSORIOS"
1831266;1826;332;"INSTALACAO E/OU MONTAGEM DE EQUIPAMENTOS DE INFORMATICA COM PECAS E ACESSORIOS"
1831267;1827;333;"INSTALACAO E/OU MONTAGEM DE EQUIPAMENTOS DE REFRIGERACAO E DE AR CONDICIONADO COM PECAS E ACESSORIOS"
1831268;1828;334;"INSTALACAO E/OU MONTAGEM DE SISTEMAS DE SEGURANCA PATRIMONIAL COM PECAS E ACESSORIOS"
1831269;1829;335;"INSTALACAO E/OU MONTAGEM DE EQUIPAMENTOS ELETROMECANICOS COM PECAS E ACESSORIOS"
1831270;1830;336;"INSTALACAO E/OU MONTAGEM DE ELEVADORES, ESCADAS E RAMPAS ROLANTES COM PECAS E ACESSORIOS"
1831271;1831;499;"MANUTENCAO EM EQUIPAMENTOS DE INFORMATICA COM PECAS E ACESSORIOS"
1831272;1832;1701;"MANUTENCAO DE EQUIPAMENTO DE INFORMATICA - PARA EQUIPAMENTO NOVO"
1831273;1833;1702;"MANUTENCAO E ADAPTACAO EM EQUIPAMENTOS MEDICOS HOSPITALARES E LABORATORIAIS - PARA EQUIPAMENTO NOVO"
1831274;1834;1703;"MANUTENCAO E RECARGA DE EXTINTORES DE INCENDIO - PARA EQUIPAMENTO NOVO"
1831275;1835;1704;"MANUTENCAO EM EQUIPAMENTOS DE COMBATE A INCENDIO - PARA EQUIPAMENTO NOVO"
1831276;1836;1705;"MANUTENCAO EM EQUIPAMENTOS DE TELECOMUNICACOES - PARA EQUIPAMENTO NOVO"
1831277;1837;1706;"MANUTENCAO EM INSTRUMENTOS E EQUIPAMENTOS DE LABORATORIO, ENSAIO E MEDICAO - PARA EQUIPAMENTO NOVO"
1831278;1838;1707;"MANUTENCAO EM EQUIPAMENTOS AGROPECUARIOS - PARA EQUIPAMENTO NOVO"
1831279;1839;1708;"MANUTENCAO EM EQUIPAMENTOS, COMPONENTES E SISTEMAS DE SEGURANCA ELETRONICA - PARA EQUIPAMENTO NOVO"
1831280;1840;1709;"MANUTENCAO EM MAQUINAS E EQUIPAMENTOS DE ESCRITORIO - PARA EQUIPA MENTO NOVO"
1831281;1843;1615;"SERVICO DE CONSULTORIA E ASSESSORIA EM SISTEMA OU GESTAO DE QUALIDADE"
1831282;2003;1235;"EQUIPAMENTOS PARA MANUTENCAO DE AERONAVES"
1831283;2023;1240;"ARTIGOS PARA AERONAVES"
1831284;2024;1245;"EQUIPAMENTOS PARA SERVICOS DE AEROPORTOS E AERODROMOS"
1831285;2083;5410;"ARTIGOS E COMPONENTES DE MEDICAO E CONTROLE DE TEMPERATURA"
1831286;2163;5441;"UTENSILIOS PARA LABORATORIO"
1831287;2164;5951;"UTENSILIOS PARA REFEITORIO E COZINHA INDUSTRIAL"
1831288;2203;1711;"MANUTENCAO E REPARO EM EQUIPAMENTOS DE AUTOMACAO"
1831289;2243;4746;"EQUIPAMENTOS HIDRAULICO SANITARIOS"
1831290;2283;1616;"AVALIACAO E APURACAO DO VALOR VENAL DE BENS MOVEIS E IMOVEIS"
1831291;2453;5311;"MEDICAMENTOS ALOPATICOS"
1831292;2454;5316;"MEDICAMENTOS MANIPULADOS"
1831293;2455;5321;"CONTRASTES RADIOLOGICOS E AUXILIARES DE DIAGNOSTICOS"
1831294;2456;5326;"MEDICAMENTOS FITOTERAPICOS"
1831295;2457;5711;"EQUIPAMENTOS, SUPRIMENTOS, COMPONENTES, ACESSORIOS E PERIFERICOS PARA INFORMATICA"
1831296;2458;5811;"MOBILIARIO, COMPONENTES E PECAS"
1831297;2459;5911;"ARTIGOS PARA CAMA, MESA E BANHO"
1831298;2460;5921;"TAPETES, CORTINAS, TOLDOS, PERSIANAS E COMPONENTES"
1831299;2461;5931;"ELETRODOMESTICOS, COMPONENTES E ACESSORIOS"
1831300;2462;5941;"ARTIGOS, COMPONENTES E UTENSILIOS PARA COZINHA INDUSTRIAL"
1831301;2463;6011;"ARTIGOS DE PAPELARIA E MATERIAL DE ESCRITORIO"
1831302;2464;6026;"EQUIPAMENTOS DE ESCRITORIO, COMPONENTES E PECAS"
1831303;2465;6111;"LIVROS E PUBLICACOES"
1831304;2466;6211;"INSTRUMENTOS MUSICAIS E EQUIPAMENTOS DE AUDIO/SONORIZACAO E VIDEO"
1831305;2467;6312;"EQUIPAMENTOS, ARTIGOS, PECAS E COMPONENTES PARA RECREACAO E DESPORTO"
1831306;2468;6411;"EQUIPAMENTOS E MATERIAIS PARA CONSERVACAO E LIMPEZA"
1831307;2469;6511;"MATERIAL PARA ACONDICIONAMENTO E EMBALAGENS"
1831308;2470;6611;"TECIDOS, AVIAMENTOS, ARTIGOS E MATERIAL PARA COSTURA E ESTOFAMENTO"
1831309;2471;6711;"VESTUARIO E CALCADOS"
1831310;2472;6712;"FARDAMENTO"
1831311;2473;6911;"ARTIGOS, UTENSILIOS PARA HIGIENE PESSOAL"
1831312;2474;7011;"GENEROS ALIMENTICIOS E BEBIDAS"
1831313;2475;7111;"COMBUSTIVEIS, LUBRIFICANTES E DERIVADOS"
1831314;2476;7131;"CILINDROS PARA GASES, COMPONENTES E ACESSORIOS"
1831315;2477;7211;"PRODUTOS DE TRANSFORMACAO METALICOS E NAO METALICOS"
1831316;2478;7311;"MINERIOS, MINERAIS E SEUS PRODUTOS PRIMARIOS E SEMI ACABADOS"
1831317;2479;7436;"ARTIGOS DE PROPAGANDA E BRINDES"
1831318;2480;7441;"ARTIGOS DE VALOR HISTORICO E CULTURAL"
1831319;2481;7456;"ARTIGOS DE ARTESANATO E RESTAURAÇAO DE LIVROS E OBRAS DE ARTE"
1831320;2482;1526;"BICICLOS, TRICICLOS E QUADRICICLOS"
1831321;2483;1536;"VEICULOS DE TRACAO ANIMAL"
1831322;2484;1561;"PNEUS E CAMARAS DE AR"
1831323;2485;1566;"EQUIPAMENTOS, FERRAMENTAS E ACESSORIOS PARA MANUTENCAO DE VEICULOS"
1831324;2503;1512;"BICICLOS, TRICICLOS E QUADRICICLOS"
1831325;2504;1513;"VEICULOS DE TRACAO ANIMAL"
1831326;2505;1514;"PNEUS E CAMARAS DE AR"
1831327;2506;1516;"EQUIPAMENTOS, FERRAMENTAS E ACESSORIOS PARA MANUTENCAO DE VEICULOS"
1831328;2507;3312;"EQUIPAMENTOS PARA AUTOMACAO"
1831329;2508;3913;"EQUIPAMENTOS,COMPONENTES E ACESSORIOS PARA PROTECAO INDIVIDUAL - EPI"
1831330;2509;3914;"EQUIPAMENTOS E ARTIGOS DE SEGURANCA PATRIMONIAL"
1831331;2510;4512;"FERRAGENS, ABRASIVOS, MATERIAIS PARA VEDACAO E FIXACAO"
1831332;2511;5013;"EQUIPAMENTOS, APARELHOS E ARTIGOS DE ILUMINACAO"
1831333;2512;5112;"SUPRIMENTOS ODONTOLOGICOS"
1831334;2513;5212;"EQUIPAMENTO MEDICO-HOSPITALAR, COMPONENTES E ACESSORIOS"
1831335;2514;5312;"MEDICAMENTOS MANIPULADOS"
1831336;2515;5313;"CONTRASTES RADIOLOGICOS E AUXILIARES DE DIAGNOSTICOS"
1831337;2516;5314;"MEDICAMENTOS FITOTERAPICOS"
1831338;2517;5913;"TAPETES, CORTINAS, TOLDOS, PERSIANAS E COMPONENTES"
1831339;2518;5916;"ELETRODOMESTICOS, COMPONENTES E ACESSORIOS"
1831340;2519;5918;"ARTIGOS, COMPONENTES E UTENSILIOS PARA COZINHA INDUSTRIAL"
1831341;2520;6012;"EQUIPAMENTOS DE ESCRITORIO, COMPONENTES E PECAS"
1831342;2521;7112;"CILINDROS PARA GASES, COMPONENTES E ACESSORIOS"
1831343;2522;7413;"ARTIGOS DE PROPAGANDA E BRINDES"
1831344;2523;7414;"ARTIGOS DE VALOR HISTORICO E CULTURAL"
1831345;2524;7417;"ARTIGOS DE ARTESANATO E RESTAURACAO DE LIVROS E OBRAS DE ARTE"
1831346;2543;127;"ESTUDOS E PROJETOS DE AEROFOTOGRAMETRIA E AGRIMENSURA"
1831347;2544;128;"ESTUDOS E PROJETOS DE ENGENHARIA CIVIL"
1831348;2545;129;"PROJETOS, ESTUDOS E SERVICOS DE SONDAGENS E FUNDACOES"
1831349;2546;130;"ESTUDOS E PROJETOS DE TELECOMUNICACOES"
1831350;2547;245;"OBRAS E SERVICOS DE ENGENHARIA DE ESTRADAS"
1831351;2548;246;"SERVICOS E INSTALACOES DE REDES FISICA E LOGICA E DE TELECOMUNICACOES"
1831352;2549;247;"SERVICOS DE ENGENHARIA AMBIENTAL"
1831353;2550;337;"INSTALACAO E MONTAGEM DE BOX, BANCADAS E DIVISORIAS"
1831354;2551;338;"INSTALACAO E MONTAGEM DE EQUIPAMENTOS"
1831355;2552;340;"INSTALACAO E/OU MONTAGEM DE SISTEMAS DE SEGURANCA PATRIMONIAL"
1831356;2553;1713;"MANUTENCAO E REPAROS EM AERONAVES,COMPONENTES E ACESSORIOS E EQUIPAMENTOS DE OFICINA"
1831357;2554;1714;"MANUTENCAO EM EQUIPAMENTOS DE BUSCA, SEGURANCA E SALVAMENTO E COMBATE A INCENDIO"
1831358;2555;1715;"MANUTENCAO E REPARO EM EQUIPAMENTOS PARA CONSTRUCAO CIVIL E MINERACAO"
1831359;2556;1716;"MANUTENCAO EM MAQUINAS E EQUIPAMENTOS DE ESCRITORIO"
1831360;2557;1717;"MANUTENCAO EM EQUIPAMENTO MEDICO, HOSPITALAR, ODONTOLOGICO E DE LABORATORIO"
1831361;2558;339;"INSTALACAO E MONTAGEM EM EQUIPAMENTO MEDICO, HOSPITALAR, ODONTOLOGICO E DE LABORATORIO"
1831362;2559;1718;"MANUTENCAO EM VEICULOS"
1831363;2560;1719;"MANUNTENCAO E REPARO EM EQUIPAMENTOS PARA PURIFICACAO E TRATAMENTO DE AGUA E ESGOTO"
1831364;2561;563;"LOCACAO DE EQUIPAMENTOS PARA TELECOMUNICACOES"
1831365;2563;564;"LOCACAO DE EQUIPAMENTOS E MOBILIARIO ESCRITORIO,INFORMATICA E REPROGRAFIA"
1831366;2564;565;"LOCACAO DE EQUIPAMENTOS, ARTIGOS E MOBILIARIO HOSPITALAR, ODONTOLOGICOE LABORATORIAL"
1831367;2565;1617;"SERVICOS DE AUDITORIA OU PERICIA (EXCETO OBRAS)"
1831368;2566;1618;"SERVICO DE CONSULTORIA OU ASSESSORIA"
1831369;2567;1619;"SERVICOS TECNICOS PROFISSIONAIS"
1831370;2583;244;"OBRAS E SERVICOS DE ENGENHARIA CIVIL"
1831371;2603;5611;"MATERIAIS PARA TREINAMENTO DIDATICO"
1831372;2623;4212;"EQUIPAMENTOS, MATERIAIS,COMPONENTES E ESTRUTURAS PARA CONSTRUCAO CIVIL"
1831373;2643;5442;"EQUIPAMENTOS E ARTIGOS DE LABORATORIO, COMPONENTES E ACESSORIOS"
1831374;606;5411;"PADROES E INSTRUMENTOS DE MEDICAO DE CARACTERISTICAS GEOMETRICAS"
1831375;607;5412;"PADROES E INSTRUMENTOS DE MEDICAO DE DUREZA"
1831376;608;5413;"PADROES E INSTRUMENTOS DE MEDICAO E CONTROLE DE GRANDEZAS ELETRICAS, MAGNETICAS E ELETROMAGNETICAS"
1831377;609;5414;"INSTRUMENTOS E COMPONENTES DE MEDICAO DE TEMPO"
1831378;610;5415;"INSTRUMENTOS DE MEDICAO E CONTROLE DE VELOCIDADE"
1831379;611;5416;"INSTRUMENTOS E COMPONENTES DE MEDICAO E CONTROLE DE PRESSAO"
1831380;612;5417;"INSTRUMENTOS E COMPONENTES DE MEDICAO E CONTROLE DE TEMPERATURA"
1831381;613;5418;"INSTRUMENTOS E COMPONENTES DE MEDICAO E CONTROLE DE FORCA"
1831382;614;5419;"INSTRUMENTOS DE MEDICAO DE TORQUE"
1831383;615;5420;"INSTRUMENTOS E COMPONENTES DE MEDICAO DE MASSA"
1831384;616;5421;"INSTRUMENTOS DE MEDICAO E CONTROLE DE RADIACOES IONIZANTES"
1831385;617;5422;"INSTRUMENTOS DE MEDICAO E CONTROLE DE VAZAO E VELOCIDADE DE FLUIDOS"
1831386;618;5423;"EQUIPAMENTOS E COMPONENTES PARA ENSAIOS E ANALISES QUIMICAS"
1831387;619;5424;"EQUIPAMENTOS E COMPONENTES PARA ANALISES DE SOLOS E ASFALTOS"
1831388;620;5425;"EQUIPAMENTOS PARA ENSAIOS EM MADEIRAS"
1831389;621;5426;"EQUIPAMENTOS E COMPONENTES PARA ENSAIOS EM EXPLOSIVOS"
1831390;622;5427;"EQUIPAMENTOS PARA ENSAIOS NAO DESTRUTIVOS"
1831391;623;5428;"EQUIPAMENTOS E COMPONENTES PARA ANALISES METEOROLOGICAS"
1831392;624;5429;"INSTRUMENTOS PARA TOPOGRAFIA, CARTOGRAFIA E DESENHO"
1831393;625;5430;"INSTRUMENTOS PARA MEDICAO E CONTROLE DE UMIDADE"
1831394;626;5431;"INSTRUMENTOS OPTICOS E COMPONENTES"
1831395;627;5432;"EQUIPAMENTOS DE LABORATORIO"
1831396;628;5433;"ARTIGOS DE LABORATORIO, COMPONENTES E ACESSORIOS"
1831397;629;5434;"EQUIPAMENTOS E ARTIGOS DE LABORATORIO NAO CONSIDERADOS CORRELATOS"
1831398;630;5435;"VIDRARIAS E PLASTICOS PARA LABORATORIO"
1831399;631;5436;"SUPRIMENTOS PARA LABORATORIO"
1831400;632;5437;"REAGENTES E PRODUTOS QUIMICOS"
1831401;633;5438;"EQUIPAMENTOS E INSTRUMENTOS PARA NAVEGACAO"
1831402;741;789;"SERVICOS ESPECIALIZADOS EM AREA FINANCEIRA/BANCARIA"
1831403;761;658;"SERVICOS DE ESCRITORIO RELACIONADOS A TECNOLOGIA DA INFORMACAO"
1831404;762;790;"SERVICOS ESPECIALIZADOS EM REDE IP MULTISSERVICOS"
1831405;763;791;"SERVICOS DE HOSPEDAGEM DE SISTEMAS DE INFORMACAO"
1831406;764;792;"SERVICOS ESPECIALIZADOS EM SEGURANCA DA INFORMACAO"
1831407;765;793;"GESTAO DE AMBIENTE DE TECNOLOGIA DE INFORMACAO"
1831408;766;794;"DESENVOLVIMENTO, IMPLANTACAO E MANUTENCAO EM SISTEMAS DE INFORMACAO, SITIOS E INTRANET"
1831409;821;6430;"ARTIGOS DE CONSERVACAO E LIMPEZA"
1831410;841;796;"SERVICO ESPECIALIZADO DE ABATEDOURO/FRIGORIFICO"
1831411;901;242;"SERVICOS DE INSTALACAO DE TUBULACOES PREDIAIS"
1831412;881;551;"LOCACAO DE MOBILIARIO HOSPITALAR, ODONTOLOGICO, LABORATORIAL, VETERINARIO"
1831413;-1;-1;"NÃO INFORMADO"
1831414;-2;-2;"INVÁLIDO"
1831415;-3;-3;"NÃO SE APLICA"
1831416;-4;-4;"INEXISTENTE"
1831417;26;126;"ELABORACAO DE NORMAS E ESPECIFICACOES TECNICAS NA AREA DE ENGENHARIA"
1831418;27;201;"SERVICOS DE ACABAMENTO E REVESTIMENTOS"
1831419;28;202;"SERVICOS DE AVALIACAO, PERICIA E VISTORIA"
