"id_tempo";"id_procedimento";"id_orgao_demanda";"id_orgao_contrato";"id_situacao_proc";"id_situacao_cont";"id_municipio";"id_contratado";"id_grupo_matserv";"id_classe_matserv";"id_material_servico";"id_item_matserv";"id_processo";"id_contrato";"id_unidade_medida";"id_linha_fornec";"id_item";"id_unidade_orc";"sqa_procedimento";"sqa_item_pedido";"ano_particao";"dt_item_homologa";"qt_item_pedido";"vr_un_referencia";"vr_referencia";"vr_un_homologado";"vr_homologado";"vr_atualizado"
47083;15;1831008;50;1;8;883;60709;26;87;7290;150094;318024;46296;1733;1831234;2863;2925;36;2907865;2020;"27/01/2020";150;1,8;270;1,8;270;270
47083;15;1831008;50;1;8;883;60709;26;87;7290;150093;318024;46296;1733;1831234;2863;2925;36;2907866;2020;"27/01/2020";150;1;150;1;150;150
47083;15;1831008;50;1;8;883;60709;26;87;7290;150095;318024;46296;1733;1831234;2863;2925;36;2907867;2020;"27/01/2020";300;2,5;750;2,5;750;750
47069;15;1831008;50;1;8;883;23774;26;174;20961;161134;318029;46296;1711;1831233;2863;2925;36;2907899;2020;"27/01/2020";50;8,5;425;8,5;425;425
47101;15;1831008;50;1;8;883;18679;42;399;16042;135495;318770;46296;889;1831334;2923;2925;36;2918012;2020;"14/02/2020";500;28,3;14150;28,3;14150;14150
47101;15;1831008;50;1;8;883;19141;42;399;16201;118894;318770;46296;889;1831334;2923;2925;36;2918011;2020;"14/02/2020";5;76,8;384;76,8;384;384
47101;15;1831008;50;1;8;883;29623;42;399;16042;123042;318770;46296;889;1831334;2923;2925;36;2918010;2020;"14/02/2020";3;1118,85;3356,55;1118,85;3356,55;3356,55
47101;15;1831008;50;1;8;883;19141;42;399;486;138396;318770;46296;889;1831334;2923;2925;36;2918009;2020;"14/02/2020";15;61,87;928,05;61,87;928,05;928,05
47098;15;1831008;50;1;8;883;56833;42;624;10733;167383;318801;46296;889;1831334;2923;2925;36;2914652;2020;"14/02/2020";100;4,19;419;4,19;419;419
47098;15;1831008;50;1;8;883;17532;42;525;50;24402;318801;46296;1544;1831334;2923;2925;36;2914651;2020;"14/02/2020";32;12,9;412,8;12,9;412,8;412,8
47098;15;1831008;50;1;8;883;20176;42;399;7808;126003;318801;46296;889;1831334;2923;2925;36;2914650;2020;"14/02/2020";200;2,72;544;2,72;544;544
47098;15;1831008;50;1;8;883;35283;42;399;13536;8207;318801;46296;898;1831334;2923;2925;36;2914649;2020;"14/02/2020";1;1100;1100;1100;1100;1100
47098;15;1831008;50;1;8;883;21107;42;399;10860;16814;318801;46296;889;1831334;2923;2925;36;2914648;2020;"14/02/2020";10;15,8;158;15,8;158;158
47098;15;1831008;50;1;8;883;17532;42;624;15771;60920;318801;46296;892;1831334;2923;2925;36;2914647;2020;"14/02/2020";1000;31,4;31400;31,4;31400;31400
47098;15;1831008;50;1;8;883;21499;42;399;9401;131901;318801;46296;889;1831334;2923;2925;36;2914646;2020;"14/02/2020";500;9,05;4525;9,05;4525;4525
47098;15;1831008;50;1;8;883;18682;42;399;10825;147933;318801;46296;889;1831334;2923;2925;36;2914645;2020;"14/02/2020";1000;0,18;180;0,18;180;180
47098;15;1831008;50;1;8;883;19946;42;399;289;106809;318801;46296;889;1831334;2923;2925;36;2914644;2020;"14/02/2020";30000;0,21;6300;0,21;6300;6300
47098;15;1831008;50;1;8;883;18682;42;399;289;106713;318801;46296;889;1831334;2923;2925;36;2914643;2020;"14/02/2020";10000;0,2;2000;0,2;2000;2000
47098;15;1831008;50;1;8;883;17532;42;399;7848;87566;318801;46296;889;1831334;2923;2925;36;2914642;2020;"14/02/2020";20;9,1;182;9,1;182;182
