id_tempo;id_processo;id_orgao_contrato;id_contrato;id_contratado;id_situacao_cont;ano_particao;vr_homologado;vr_atualizado
36924;112219;1;10543;724;4;2012;165000,00;248857,54
37016;159388;5;42551;13165;4;2012;97452,07;391396,70
37010;151658;64;39129;19624;2;2012;39539,48;39539,48
37454;100375;96;15534;22000;2;2013;68000,00;204000,00
36992;175195;99;11355;23147;4;2012;180000,00;180000,00
37489;45053;1;48381;17016;4;2013;47490,00;47490,00
36521;41342;81;28144;23951;4;2012;10000,00;10000,00
37426;41177;76;14714;10451;4;2013;10050,00;10636,25
37393;5658;23;19681;19172;4;2013;222807,84;222807,84
37847;9614;4;21401;23323;4;2013;280001,82;295819,44
37391;143949;95;50943;5553;4;2013;95395,20;98511,37
37427;53059;96;23995;20744;2;2013;328377,99;328377,99
36989;84412;93;50085;20136;4;2012;318447,99;318447,99
37006;151835;76;47554;17374;4;2012;21312,00;21312,00
37009;143956;11;50941;47423;4;2012;500,00;500,00
36971;45113;16;16370;20027;4;2012;3120,20;3120,20
37863;88643;23;16378;26056;4;2013;1000000,00;1000000,00
37870;116171;54;7151;17884;4;2013;66900,00;66900,00
37400;246381;95;20580;21342;4;2013;126004,90;126004,90
37441;234661;61;2991;742;4;2013;3961,00;3961,00
37947;163498;81;18016;26988;3;2013;15218593,48;18189855,54
36931;214943;43;47570;22392;4;2012;750000,00;750000,00
36953;80352;81;8803;17530;1;2012;86357244,55;86357244,55
42833;187199;64;43347;31915;4;2011;18000,00;74219,49
39699;120157;96;29845;24021;2;2014;262080,00;262080,00
37030;76730;92;23126;23572;4;2013;17459,78;17459,78
36929;242378;81;8815;20944;4;2012;36000,00;71778,83
37385;171368;96;15573;18449;2;2013;529966,80;2214788,37
41455;21634;82;33235;23736;4;2010;5236,62;6660,42
36549;49207;92;3807;21585;4;2012;1686337,46;1686337,46
36503;238417;92;1263;22228;4;2012;2135,00;2135,00
37432;151737;12;18037;18905;4;2013;115864,38;128455,38
36988;151871;1;43345;23810;4;2012;585,00;585,00
36504;191151;55;32387;20690;2;2012;1557967,60;1598647,40
37448;5893;16;22323;18212;4;2013;55824,00;55824,00
37457;171362;81;46751;54293;4;2013;37804,80;37804,80
37411;206858;5;2142;18652;4;2013;11567,50;11567,50
37016;120258;95;24832;21766;4;2012;170000,00;170000,00
37016;120258;95;16376;23592;4;2012;20000,00;20000,00
37421;5875;12;3809;22315;4;2013;23494,15;27739,75
36993;29463;28;20606;19172;4;2012;306213,60;306213,60
37454;100510;5;45038;20548;4;2013;110120,20;380333,87
37034;29374;93;8065;31915;3;2013;488698,00;1499487,34
37455;187171;95;49279;25152;4;2013;100000,00;100000,00
37897;179032;5;10493;22838;4;2013;24972,00;135620,73
36098;222708;38;39941;24262;4;2012;18867,00;18867,00
36986;214813;76;13053;4727;4;2012;5346,00;5346,00
37390;76719;96;29848;15619;2;2013;490233,40;490233,40
37471;131839;76;4624;48;4;2013;44688,00;44688,00
36957;151795;18;37523;19943;4;2012;44799,60;47823,60
37008;187246;28;25642;43220;4;2012;29916,72;29916,72
37474;159520;5;28959;24598;4;2013;411206,63;1069619,55
42365;60785;96;10547;20823;2;2011;148449,41;148449,41
36978;143913;11;18859;21835;4;2012;2498996,87;2498996,87
37870;222784;5;24858;7459;4;2013;149999,99;448362,95
37433;199022;95;1336;19992;4;2013;4095,00;4095,00
37453;116091;36;19703;17501;4;2013;17200,00;17200,00
37400;175297;95;427;20691;4;2013;65350,00;66512,12
37385;136042;92;18051;5920;4;2013;101025,54;103666,52
37447;45343;92;23142;22881;2;2013;5999498,10;5999498,10
37397;211045;95;11390;22362;4;2013;17800,00;17800,00
36923;65070;42;24868;23366;4;2012;21999,54;21999,54
37400;179431;81;18065;12592;4;2013;2494684,88;13491331,52
36947;64988;36;8071;19153;4;2012;19699,99;35345,01
37015;226788;12;45926;19940;2;2012;557704,53;3381464,32
36952;80785;16;12197;7334;4;2012;6744,40;13488,80
37399;96456;96;48391;18948;2;2013;1444753,58;1805172,83
37454;226783;95;30682;23592;4;2013;7500,00;7500,00
36943;60988;1;24873;20733;4;2012;1244139,00;1244139,00
40028;151741;98;424;16719;2;2009;32011,80;240360,12
37417;49180;95;39969;16169;4;2013;4999,99;4999,99
37454;112296;76;7172;15262;2;2013;35076,00;36746,08
36943;218898;95;33228;18865;4;2012;37734,40;37734,40
37484;214969;65;6318;22137;4;2013;2180,00;2180,00
42832;136000;95;24027;19133;4;2011;1194,50;0,00
36959;139939;36;4618;51813;2;2012;78516,00;454042,20
36501;238351;76;20556;13449;4;2012;88050,00;88050,00
37027;52986;95;51858;20668;4;2013;68880,00;68880,00
36999;242665;81;4616;7272;4;2012;93500,00;134051,51
36994;143963;95;30685;19572;4;2012;29778,50;29778,50
36989;96429;1;21429;170;4;2012;11124,00;11124,00
37008;76699;93;24843;19148;4;2012;4979,98;4979,98
37884;49299;3;48420;19331;2;2013;6487846,92;8011260,09
37481;246654;5;51867;17627;4;2013;70728,00;70728,00
37408;33600;93;28973;24219;3;2013;290000,00;290000,00
37420;171419;95;20642;16169;4;2013;33360,00;33360,00
37420;171419;95;5524;20581;4;2013;79980,00;79980,00
37464;163769;99;44199;54690;4;2013;49449,00;49449,00
36532;100800;41;49295;17603;4;2012;2,00;2,00
36532;108618;41;49295;17603;4;2012;2,00;2,00
37849;179372;17;38357;17494;3;2013;4232,11;4576,15
37419;246684;95;32411;39976;4;2013;84545,00;88821,90
37421;56899;95;26492;3437;4;2013;43905,00;43905,00
37422;29428;101;10549;21483;4;2013;464,00;464,00
37391;159577;26;17224;18732;3;2013;99103,20;99103,20
36566;53210;36;16396;49054;4;2012;8160,00;46449,48
37385;131715;95;24043;20661;4;2013;40580,00;40580,00
37015;21746;95;50106;20404;4;2012;107950,00;107950,00
37952;147928;41;24033;11836;4;2013;146500,00;146500,00
36967;84835;1;50988;18984;4;2012;879892,80;1097676,60
37027;52986;95;19731;6044;4;2013;74664,00;74664,00
36954;96631;77;41728;23254;4;2012;3514,68;3514,68
37481;230912;93;39993;2990;4;2013;43723,00;43723,00
37878;96459;12;1351;25543;4;2013;6357,25;6357,25
37939;88865;76;30740;4051;4;2013;60300,00;60825,00
38392;17811;36;21451;2084;2;2013;60105,00;69913,65
36504;76818;55;44215;16616;2;2012;1554770,52;1579263,54
36979;17836;16;4629;488;4;2012;31944,00;116655,85
37426;163419;12;29816;20571;4;2013;53246,90;53246,90
37854;53230;57;28975;9366;4;2013;22260,00;22260,00
36994;187257;95;40845;23552;4;2012;60999,94;60999,94
37432;13910;95;24863;18543;4;2013;69360,00;69360,00
37410;5858;95;14752;16169;4;2013;14799,00;14799,00
36566;210797;57;53515;14315;4;2012;10697,70;10697,70
37398;25666;92;3827;19806;4;2013;32933,00;32933,00
37464;92487;76;28116;1814;4;2013;11988,00;11988,00
36995;238551;37;43339;36728;4;2012;5568,60;16705,80
37847;250625;36;22332;5684;4;2013;10000,00;10000,00
37457;17772;92;33260;35430;4;2013;2919000,00;3625705,26
36972;2059;23;5483;21787;2;2012;4191,00;4254,60
37462;108394;95;13073;8026;4;2013;26129,55;26129,55
40041;230915;98;12203;806;4;2009;868474,56;2211235,71
36971;127944;83;8066;21079;4;2012;13300,00;13300,00
37399;37264;95;28146;7649;4;2013;86171,60;92415,92
37412;33398;28;28968;38808;1;2013;25800,00;220680,77
36959;56792;16;48402;13456;4;2012;6424,00;6424,00
37456;5974;95;40851;20810;4;2013;10505,00;10505,00
38303;120297;99;13071;19172;4;2013;67552,32;67552,32
36947;49394;97;9754;19140;4;2012;29361,00;29361,00
36504;65000;12;31553;52055;2;2012;88428,48;457665,60
37861;167554;95;42601;15143;4;2013;60000,00;60000,00
36987;183258;57;14764;22249;4;2012;210,00;210,00
37418;13983;5;19758;16384;2;2013;59292,00;323521,08
36995;41405;38;26514;18796;2;2012;80000,00;80000,00
37456;144090;5;458;37380;2;2013;73200,00;309046,34
37856;100514;99;5522;17946;4;2013;28738,50;28738,50
36938;132040;65;44193;31915;4;2012;22320,00;30501,92
37427;230604;36;36657;23004;4;2013;2352,00;2352,00
37933;49322;81;29872;19890;1;2013;5810486,76;5810486,76
37868;33710;95;2194;18276;4;2013;30684,00;30684,00
41484;13829;55;6348;14990;2;2011;13738,73;3738,73
36546;159727;11;4636;48873;4;2012;1685,00;1685,00
37461;136015;95;39170;20914;4;2013;5812,56;6314,24
37890;49430;76;16420;22368;2;2013;7920,00;7920,00
37463;25633;92;26517;25187;4;2013;840,00;840,00
36933;61172;67;3842;17168;4;2012;25000,00;25000,00
37886;61150;77;13915;20267;4;2013;25695,00;60014,76
36995;218912;37;30667;23383;2;2012;70000,00;70000,00
37441;88910;61;24879;26713;4;2013;15360,00;15360,00
36944;29542;93;27333;19742;4;2012;22490,00;22490,00
37391;234849;92;21477;44440;2;2013;3740,00;3740,00
37418;9834;95;27280;25669;4;2013;11080,00;11080,00
37415;246863;92;12211;20769;4;2013;5770,00;7170,00
40530;92705;3;16405;17603;2;2010;728290,01;2114852,60
37442;84798;57;45066;54599;4;2013;9332,75;9332,75
36966;171438;96;7202;19771;2;2012;398000,00;702260,89
36987;183258;57;15593;23492;4;2012;5958,00;5958,00
36938;132021;76;29878;8924;4;2012;111924,00;115657,62
37377;242728;96;45939;31915;4;2013;30321,00;30321,00
36072;56827;64;48428;31915;4;2012;168912,73;168912,73
37415;250627;92;17240;5365;4;2013;1260,00;1260,00
36558;120277;1;45941;20937;4;2012;188596,10;188596,10
37432;246697;12;52715;20782;4;2013;10650,00;13845,00
36993;218851;11;23117;49884;4;2012;337,00;337,00
37933;250776;57;45956;18788;4;2013;39900,00;39900,00
37463;100612;55;8879;19172;4;2013;30223,68;30503,68
37914;124354;76;6371;5698;4;2013;16092,00;16092,00
37927;147633;99;20643;21260;4;2013;50305,18;50305,18
36551;72945;100;53551;18198;4;2012;2670,00;4492,58
37030;136077;96;41738;21650;2;2013;135000,00;162000,00
36994;199157;95;12210;20189;4;2012;780026,00;780026,00
37875;25717;95;37548;1135;4;2013;13950,00;13950,00
38837;112486;99;7216;19742;4;2014;97971,90;97971,90
37948;16131;5;5528;22000;2;2013;57485,18;230956,16
37920;140058;12;50131;23774;4;2013;4237,60;4527,90
37855;17914;37;8890;40047;2;2013;161800,00;167000,00
37862;21874;12;21472;24659;4;2013;60000,00;75200,00
37884;171594;4;9766;19172;4;2013;5926,80;5926,80
37850;17888;95;10577;20404;4;2013;160402,00;160402,00
37862;33691;95;40006;39046;4;2013;9249,98;11562,18
37877;242884;95;17248;19627;4;2013;70735,00;88418,75
37490;45499;76;37545;1630;4;2013;93558,00;93558,00
37886;144113;90;40000;20317;4;2013;58904,56;58904,56
37904;45440;1;13087;4865;4;2013;331,00;331,00
36931;112375;65;446;31915;4;2012;41902,32;59214,90
38324;25705;95;46775;18511;4;2013;9077195,47;9077195,47
37884;57194;92;31581;20429;4;2013;6360,20;6360,20
38406;13927;54;38406;19153;4;2013;41000,00;41000,00
37868;242876;95;12219;20405;4;2013;19900,00;19900,00
38335;187363;12;26527;27138;4;2013;3498,85;3498,85
37913;152035;41;37552;5263;4;2013;2658,00;2658,00
37861;234859;95;42625;20442;4;2013;98154,00;98154,00
36957;136115;18;42640;16118;4;2012;25129,92;25129,92
37461;57606;91;22415;20098;4;2013;154825,63;448630,49
37949;152140;12;35908;6780;4;2013;39204,00;39204,00
37910;37721;76;41778;7969;4;2013;76485,00;76485,00
37412;238586;95;3066;13792;4;2013;36180,00;37026,00
37391;214782;57;15613;17990;4;2013;41499,96;41499,96
37391;214782;57;27353;21765;4;2013;4300,00;4300,00
38806;10367;1;8148;26056;4;2014;437500,00;1225000,00
37921;112527;95;7213;16658;4;2013;69999,90;71823,15
37913;246883;16;38400;23092;4;2013;1434,00;1434,00
37903;199331;12;18085;16875;4;2013;7403,20;106938,84
37896;156044;94;20651;22776;4;2013;11800,00;11800,00
37960;132212;96;26526;19323;2;2013;794756,18;794756,18
37863;246785;43;18111;20647;4;2013;17500,50;17500,50
37893;37572;81;40891;24262;4;2013;9594000,00;9594000,00
38801;33738;95;20647;10151;4;2014;44000,00;44000,00
37844;148095;94;11415;21968;4;2013;10400,00;10400,00
36048;49460;96;35876;20744;2;2012;28621,91;28621,91
36104;88907;101;39184;18797;4;2012;16649,99;16649,99
37863;37636;76;3839;5039;2;2013;109040,10;225478,50
37862;53305;12;44224;24710;4;2013;60000,00;81450,00
38315;45578;76;29886;819;4;2013;10200,00;10435,50
37955;76940;64;21486;35430;2;2013;677150,00;677150,00
37927;100873;76;1373;19001;4;2013;9450,00;9450,00
38303;104763;81;11416;20024;3;2013;34187,20;76876,40
37471;211143;95;12223;20317;4;2013;6723,20;6723,20
37871;246844;1;18091;48;4;2013;5775,75;5775,75
37886;17925;5;38396;19185;4;2013;5400,00;8345,25
37855;57186;1;13927;10210;4;2013;145000,00;181250,00
38356;144305;5;20664;19894;4;2013;9626,67;19253,34
37945;29752;76;32426;18838;4;2013;80910,00;80910,00
37897;144196;36;32431;20141;2;2013;36500,00;36500,00
37397;69045;16;33287;19524;4;2013;96171,00;96171,00
37435;147605;5;27312;5429;4;2013;4643,14;5798,81
37009;223146;77;51017;8325;4;2012;1680,00;1680,00
36994;73031;57;29906;22573;4;2012;4939,00;4939,00
37469;132073;81;45925;25692;4;2013;2641456,00;5266964,96
36971;175211;16;24902;15745;4;2012;20000,00;20000,00
36994;120575;15;23173;11918;3;2012;19930,00;19930,00
36981;136023;95;50967;39995;4;2012;130942,32;163570,48
37027;72982;95;5511;458;3;2013;15688,80;16316,42
37411;29844;95;26532;16169;4;2013;22000,00;22000,00
36981;136023;95;32408;13864;4;2012;63997,20;79935,20
36991;218877;57;34169;11036;4;2012;196999,20;196999,20
37008;191259;95;32410;15622;4;2012;15768,00;17211,44
37871;155868;94;52701;18336;4;2013;97704,00;97704,00
36564;135828;57;34133;39046;4;2012;1241,28;1241,28
36952;100889;22;53573;13190;4;2012;1332,00;5328,00
36565;210428;95;18105;20382;2;2012;6400,00;6400,00
37428;61019;81;34134;17816;1;2013;52509293,28;52509293,28
38324;132305;16;46796;8783;4;2013;24159,95;24159,95
36951;100933;96;11429;35083;2;2012;9892,32;58866,14
36113;116473;41;28956;25003;3;2012;7712,75;7712,75
38341;73216;16;14780;21107;4;2013;311696,00;387596,00
37467;76998;11;24893;26231;4;2013;6542353,99;6278058,84
37930;112464;27;8111;18217;4;2013;2328,72;2346,89
37463;144109;69;3068;20588;4;2013;436499,75;436499,75
37411;175526;99;27355;20329;4;2013;1300,00;1300,00
37027;52986;95;4687;16761;4;2013;17520,00;18180,00
36558;235009;1;17281;20980;4;2012;41916,00;41916,00
36979;77178;82;41770;22399;4;2012;1689,60;2896,96
37960;104629;99;49314;19814;2;2013;37467,90;218085,85
37408;25702;76;13946;24615;4;2013;145854,00;304686,00
37439;88472;95;33281;13027;4;2013;5760,00;5760,00
38302;53376;91;53581;21564;3;2013;964433,40;964433,40
37862;84892;41;38402;1929;2;2013;45779,95;45799,95
38378;195478;95;46819;27068;4;2013;45981,60;45981,60
38380;100818;67;6411;25969;4;2013;47500,00;47500,00
38302;25818;36;3087;20126;4;2013;598,80;598,80
37422;29417;95;53528;16169;4;2013;2000,00;2000,00
37954;104716;76;47640;19997;4;2013;41616,00;41616,00
38337;10105;76;41783;15622;4;2013;60033,12;62396,86
38324;132224;36;46799;19102;4;2013;300650,28;300650,28
38320;128611;39;40953;25665;2;2013;25441,73;25441,73
38774;175646;1;51036;17603;2;2014;54954,84;115711,54
38344;21910;95;14796;8827;4;2013;41800,00;52234,00
38309;33770;76;6410;5699;2;2013;166854,00;170774,40
37947;195477;95;40908;24423;4;2013;3696,00;3696,00
38754;163984;96;32451;20766;2;2013;814098,02;814098,02
37939;156077;19;18122;22801;2;2013;6181626,23;7558671,15
37857;101168;78;29100;25641;2;2013;32577825,30;32577825,30
37914;234956;36;24081;40958;2;2013;380880,00;542371,44
37446;242501;5;40854;43566;3;2013;22382,32;47090,38
37471;29802;6;11501;17494;2;2013;1216,72;1216,72
38380;96792;4;18116;18732;4;2013;113690,00;113690,00
38302;112593;12;19789;28461;4;2013;60000,00;94950,00
38313;96815;99;12261;19251;4;2013;35665,00;35665,00
38350;179561;51;15638;19096;4;2013;4905,58;4905,58
37959;175579;67;477;6025;4;2013;370619,20;370619,20
36523;2276;99;47621;19940;4;2012;19259,28;119897,88
37921;96849;99;32439;25530;4;2013;108500,00;108500,00
36565;230901;8;2174;20781;4;2012;74807,00;57075,86
37914;156175;12;491;31915;4;2013;770232,72;1585215,96
36988;135773;57;41740;15118;4;2012;534,20;534,20
38328;191721;76;29093;1383;2;2013;21000,00;21000,00
37463;159556;99;13115;23310;4;2013;59800,00;59800,00
36988;45191;57;7238;23004;4;2012;11134,95;11134,95
37407;100442;95;13050;199;4;2013;81360,00;86604,46
37411;96641;5;27319;19675;4;2013;54180,00;150096,30
36504;104656;55;11423;21909;2;2012;1614628,88;1616359,49
37932;239091;76;37575;19662;2;2013;1789021,58;1842912,65
38334;37677;92;28203;10406;4;2013;12400,00;52803,29
38795;17957;36;37580;15246;4;2014;22000,00;22000,00
38308;179563;98;17291;19474;4;2013;19785,00;2000,00
37911;227124;36;16429;27140;4;2013;79200,00;126520,92
38357;77074;12;19773;20416;4;2013;6780,40;8475,31
37461;234972;91;15617;20098;4;2013;77777,93;335432,93
38808;77092;16;34189;24541;4;2014;20995,00;20995,00
37906;81107;95;3101;25131;4;2013;3700,00;3700,00
37925;242967;69;513;18746;2;2013;540500,00;556659,63
38306;96803;96;24919;19794;2;2013;825000,00;825000,00
38376;132250;99;2220;23104;4;2013;111350,00;111350,00
38401;148238;93;12243;28794;2;2013;49223545,96;49223545,96
38336;92992;96;10602;20766;2;2013;2240718,30;7213680,39
38395;163948;76;30747;25130;2;2013;18547,06;18547,06
38372;33801;96;34184;21091;2;2013;1111544,46;1299544,06
38321;65288;26;1403;22100;2;2013;66500,00;192166,60
38320;45523;81;35073;19102;4;2013;18221,72;18221,72
38328;187559;99;20672;21987;2;2013;3250000,00;15349710,47
38309;41628;1;11451;23163;4;2013;7000,00;7000,00
37909;128350;55;15618;15681;2;2013;2253397,32;2253397,32
38370;100932;12;15621;24296;4;2013;60000,00;60000,00
38320;104757;95;48477;27579;4;2013;15593,50;15593,50
38313;77073;57;35911;5368;4;2013;39719,97;212873,25
38315;89009;95;47626;16817;2;2013;5169,99;5169,99
38320;45608;95;12245;23167;4;2013;73300,00;73300,00
37944;108733;57;34180;674;4;2013;3300,00;3300,00
38362;81114;36;31632;19606;4;2013;18290,00;18290,00
38357;124510;76;19779;18449;2;2013;135210,60;318220,68
38365;144298;100;40029;18500;4;2013;46800,00;297497,77
38352;156167;95;7232;16506;4;2013;15700,00;15700,00
38393;183532;77;45092;1827;4;2013;2751,00;2751,00
37890;49758;95;35921;3076;4;2013;2932,55;2932,55
39698;120588;5;9788;20444;2;2014;6480,00;21247,43
37906;195509;19;7237;12483;2;2013;1634390,00;1634390,00
38390;84984;57;6399;19558;4;2013;9800,00;9800,00
38349;116481;95;30752;24550;4;2013;4758,00;5933,10
37910;57373;55;16441;11260;4;2013;1320836,92;1022440,30
37926;132311;43;20679;3033;4;2013;45958,50;47374,76
37913;156084;73;40907;9271;4;2013;5400,00;5400,00
37956;112273;99;499;18396;4;2013;11344,00;11344,00
37955;195586;93;45980;6371;4;2013;23920,00;23920,00
37956;84964;76;34193;20258;4;2013;160600,00;160600,00
37925;104790;15;23200;20554;4;2013;14700,00;88104,40
38348;156078;95;37585;20898;4;2013;20978,00;20978,00
38320;124497;77;16443;13097;4;2013;29066,22;29066,22
38305;227121;55;31605;24790;2;2013;1728279,67;1728279,67
38380;124431;37;15630;17631;2;2013;12528,00;12528,00
37855;57472;26;22386;22359;4;2013;16902,80;17791,88
38345;17895;99;33263;19996;4;2013;226896,00;226896,00
37928;69122;76;25702;17674;2;2013;448986,00;457811,21
37951;6181;95;14809;2356;4;2013;44000,00;44000,00
37959;191331;99;19798;19814;4;2013;141591,60;141591,60
37875;25829;76;21504;11603;4;2013;123240,00;134348,24
37869;112762;90;24091;1575;4;2013;1650,00;1770,00
37868;33710;95;41763;12464;4;2013;6991,97;6991,97
37939;100776;99;25718;23602;4;2013;14730,00;14730,00
37934;203184;42;18900;26701;4;2013;415,00;415,00
37946;10301;76;20703;15097;4;2013;9570,00;9703,77
37888;100724;12;53627;23572;4;2013;4399,75;4399,75
37933;37816;99;24093;25655;2;2013;920000,00;5093093,32
37927;100797;95;19803;16796;4;2013;115290,00;115290,00
37917;69102;95;24094;14058;4;2013;24500,00;25648,43
37847;136414;12;42668;35430;4;2013;584400,00;584400,00
37904;45440;1;51947;10210;4;2013;311,00;311,00
38316;10163;95;35060;19096;4;2013;2452,79;2452,79
