ID_TEMPO;ID_ORGAO;ID_CONVENIO;ID_MUNICIPIO;ID_CONVENENTE;ID_TIPO_ATENDIMENTO;ID_SITUACAO;ANO_PARTICAO;VR_CONCEDE_ATUAL;VR_EMEN_PARL_ATUAL;VR_INTERV_ATUAL;VR_CONTRA_ATUAL;VR_TOTAL_ATUAL;VR_TOTAL_PUBLIC;
36584;26;38660;66;2558;814;3;2017;0;60000;0;0;60000;60000;
36585;3;38391;37;4514;718;3;2017;400184.54;0;0;0;400184.54;400184.54;
36121;10;38392;662;3173;661;3;2017;803567.56;0;0;0;803567.56;803567.56;
36117;10;38263;731;3061;661;3;2017;5944589.05;0;0;0;5944589.05;5204543.7;
36117;10;39344;675;2145;661;3;2017;4431671.24;0;0;0;4431671.24;4431671.24;
36117;10;39340;46;2149;661;3;2017;1406765.36;0;0;0;1406765.36;1406765.36;
36117;10;39336;845;2551;661;3;2017;1297284.8;0;0;0;1297284.8;1297284.8;
36224;5;39268;764;4404;599;3;2017;0;111592.63;0;1800;113392.63;113392.63;
36176;3;38975;66;4265;795;3;2017;1118084.66;0;0;0;1118084.66;1118084.66;
36205;14;38916;479;4897;738;3;2017;0;400000;0;5476.41;405476.41;405476.41;
36118;10;38901;569;3743;661;3;2017;1361687.8;0;0;0;1361687.8;1361687.8;
36117;10;39346;44;6540;661;3;2017;2383160.58;0;0;0;2383160.58;2383160.58;
36117;10;39331;387;3346;661;3;2017;2071270.22;0;0;0;2071270.22;2071270.22;
36121;10;38359;562;4009;661;3;2017;1496844.8;0;0;0;1496844.8;1496844.8;
36121;10;38259;352;2643;661;3;2017;1636681.6;0;0;0;1636681.6;1635764.2;
36173;3;38661;665;7310;813;3;2017;3709888.71;0;0;0;3709888.71;3709888.71;
36117;10;39343;790;1961;661;3;2017;2391323.78;0;0;0;2391323.78;2391323.78;
36117;10;39334;454;2909;661;3;2017;2937923.26;0;0;0;2937923.26;2937923.26;
36117;10;39332;615;2470;661;3;2017;824543.56;0;0;0;824543.56;824543.56;
36120;10;39386;399;3263;661;3;2017;1848001.28;0;0;0;1848001.28;1848001.28;
36117;10;39345;560;1669;661;3;2017;2721278.72;0;0;0;2721278.72;2721278.72;
36117;10;39338;123;2751;661;3;2017;1707542.68;0;0;0;1707542.68;1707542.68;
36117;10;39337;731;5991;661;3;2017;1426256.08;0;0;0;1426256.08;1426256.08;
36121;10;39144;315;3011;661;3;2017;1747638.28;0;0;0;1747638.28;1747638.28;
36205;14;38915;479;4897;577;3;2017;0;250000;0;3451.65;253451.65;253451.65;
36118;10;38900;520;2297;661;3;2017;3200900.08;0;0;0;3200900.08;3200900.08;
36585;42;38492;730;773;712;3;2017;80000;0;0;9000;89000;89000;
36585;3;38389;409;4932;718;3;2017;398103.31;0;0;0;398103.31;398103.31;
36119;10;39408;130;3229;661;3;2017;870368.44;0;0;0;870368.44;870368.44;
43011;7;39390;459;4547;805;3;2017;154234.51;0;0;17137.17;171371.68;171371.68;
36117;10;39351;648;3565;661;3;2017;1432127.8;0;0;0;1432127.8;1432127.8;
36117;10;39342;679;2591;661;3;2017;1519586.92;0;0;0;1519586.92;1519586.92;
36120;10;39145;806;2647;661;3;2017;1185673.96;0;0;0;1185673.96;1185673.96;
36117;10;38254;383;5783;661;3;2017;1259835.74;0;0;0;1259835.74;1248208.12;
36117;10;39407;383;5783;661;3;2017;4219150.3;0;0;0;4219150.3;4219150.3;
36117;10;39350;615;2470;661;3;2017;5110192.02;0;0;0;5110192.02;5110192.02;
36117;10;39347;583;2518;661;3;2017;1561054.6;0;0;0;1561054.6;1561054.6;
36117;10;39341;552;2546;661;3;2017;2991342.4;0;0;0;2991342.4;2991342.4;
36226;4;38745;50;1847;727;3;2017;0;60000;0;0;60000;60000;
36585;3;38390;295;4560;718;3;2017;103479.5;0;0;0;103479.5;103479.5;
36117;10;39406;147;3387;661;3;2017;3134339.92;0;0;0;3134339.92;3134339.92;
36117;10;39348;305;2812;661;3;2017;4229332.6;0;0;0;4229332.6;4229332.6;
36117;10;39339;203;2433;661;3;2017;3574756.8;0;0;0;3574756.8;3574756.8;
36117;10;38258;425;2839;661;3;2017;3900260.34;0;0;0;3900260.34;3900260.34;
36224;5;39268;764;4404;687;3;2017;0;0;0;0;0;0;
36585;8;39046;66;6245;675;3;2017;0;154980.37;0;17220.04;172200.41;172200.41;
36117;10;38264;807;3499;661;3;2017;1045224.28;0;0;0;1045224.28;1038336.76;
42990;4;38731;169;7130;727;3;2017;0;30000;0;620.33;30620.33;30620.33;
36117;10;38265;383;725;661;3;2017;2760960.42;0;0;0;2760960.42;2660960.42;
36121;10;38393;16;2052;661;3;2017;2114515.52;0;0;0;2114515.52;2114515.52;
43011;7;39391;95;4542;805;3;2017;133227.9;0;0;14803.1;148031;148031;
36117;10;39335;664;2152;661;3;2017;1627619.12;0;0;0;1627619.12;1627619.12;
36117;10;39333;600;2936;661;3;2017;2488674.44;0;0;0;2488674.44;2488674.44;
36209;14;39149;746;4865;771;3;2017;0;128700;0;4300;133000;133000;
