ID_CONVENIO;FL_VERSAO;SQE_CONVENIO;NR_SIAFI;NR_SIGCON;NR_PLANO_SIGCON;NOME;DT_PUBLICACAO;DT_VIGENCIA_INICIAL;DT_VIGENCIA_ATUAL;TP_PESSOA_BENEFICIADA;QT_PESSOA_BENEFICIADA;VR_CONCEDE_PUBLIC;VR_EMEN_PARL_PUBLIC;VR_INTERV_PUBLIC;VR_CONTRA_PUBLIC;VR_RENDIMENTOS;VR_TOTAL_PUBLIC;
39351;2;31798;9130877;1451000036/2017;000027/2017;TERMO DE COLABORACAO COM A APAC DE RIO PIRACICABA;21/02/2017;21/02/2017;28/02/2019;INDIVIDUOS PRIVADOS DE LIBERDADE / EGRESSOS DO SISTEMA PRISIONAL;46;1432127.8;0;0;0;0;1432127.8;
39350;2;31799;9130878;1451000035/2017;000018/2017;TERMO DE COLABORACAO COM A APAC DE POUSO ALEGRE - MASCULINA;21/02/2017;21/02/2017;28/02/2019;INDIVIDUOS PRIVADOS DE LIBERDADE / EGRESSOS DO SISTEMA PRISIONAL;200;5110192.02;0;0;0;0;5110192.02;
39341;2;31811;9130892;1451000028/2017;000032/2017;TERMO DE COLABORACAO COM A APAC DE PARACATU;21/02/2017;21/02/2017;28/02/2019;INDIVIDUOS PRIVADOS DE LIBERDADE / EGRESSOS DO SISTEMA PRISIONAL;130;2991342.4;0;0;0;0;2991342.4;
39340;2;31812;9130894;1451000010/2017;000012/2017;TERMO DE COLABORACAO COM A APAC DE ARCOS;21/02/2017;21/02/2017;28/02/2019;INDIVIDUOS PRIVADOS DE LIBERDADE / EGRESSOS DO SISTEMA PRISIONAL;45;1406765.36;0;0;0;0;1406765.36;
39334;2;31819;9130903;1451000006/2017;000004/2017;TERMO DE COLABORACAO COM A APAC MANHUACU;21/02/2017;21/02/2017;28/02/2019;INDIVIDUOS PRIVADOS DE LIBERDADE / EGRESSOS DO SISTEMA PRISIONAL;124;2937923.26;0;0;0;0;2937923.26;
39331;2;31822;9130906;1451000009/2017;000006/2017;TERMO DE COLABORACAO COM A APAC DE ITUIUTABA;21/02/2017;21/02/2017;01/03/2019;INDIVIDUOS PRIVADOS DE LIBERDADE / EGRESSOS DO SISTEMA PRISIONAL;90;2071270.22;0;0;0;0;2071270.22;
39268;2;32756;9143742;1301000047/2017;000055/2017;ELABORACAO DE PROJETO EXECUTIVO DA RECUPERACAO DA AREA DEGRADADA DO ENTORNO DA RUA JOAQUIM MARUES DA SILVA;08/06/2017;08/06/2017;08/06/2019;POPULACAO;8000;0;111592.63;0;1800;0;113392.63;
38660;2;32832;9143946;1701000049/2017;000072/2017;TERMO DE COLABORACAO Nº 001/2017;22/06/2017;22/06/2017;21/08/2017;CIDADAOS;283;0;60000;0;0;0;60000;
38263;2;31802;9130881;1451000032/2017;000036/2017;TERMO DE COLABORACAO COM A APAC DE SAO JOAO DEL REI - MASCULINA;21/02/2017;21/02/2017;28/02/2019;INDIVIDUOS PRIVADOS DE LIBERDADE / EGRESSOS DO SISTEMA PRISIONAL;300;5204543.7;0;0;0;0;5204543.7;
39408;2;31862;9130997;1451000039/2017;000016/2017;TERMO DE COLABORACAO COM A APAC DE CANAPOLIS;23/02/2017;23/02/2017;02/03/2019;INDIVIDUOS PRIVADOS DE LIBERDADE / EGRESSOS DO SISTEMA PRISIONAL;30;870368.44;0;0;0;0;870368.44;
